Timestamp,I agree to participate in the research study. I understand the purpose and nature of this study and I am participating voluntarily as an anonymous user.,Your University (Optional),Your Gender,Your Batch,Your Field,Your CGPA,Is your university conducting online classes?,Which tool/equipment do you use to attend your online classes? (You may select more than one answers),How do you access the internet? (You may select more than one answer),Select any technological issue you face while attending an online class?,Select any non-technological issues you face while attending your online class?,"On a scale of 1 to 5, how much do you think your studies have been affected by the pandemic?",Do you think COVID-19 will have an impact on your future (career)?,Tell us briefly what impact do you think COVID-19 might have on your future (career)?,Did your university provide any help to ease your experience of online classes?,How did your university help you to ease your experience of online classes?,"On a scale of 1 to 5, how do you feel about the shift to online classes? ",What GPA do you expect in your current semester?,Would your GPA have been the same had the lockdown not happened?,Do you think the online classes  can become permanent in the near future?,Are you struggling while learning online as opposed to in-person learning?,Do you think that students who missed assignments/classes due to this pandemic should be compensated?,Has COVID-19 affected your relationship with your family?,Do you think that the lockdown has increased your workload?,"On a scale of 1 to 5, how productive have you been during the lock-down?",How many courses do you have?,"On a scale of 1 to 5, how many assignments, tasks, projects, etc. are you able to complete on their respective deadlines?","On a scale of 1 to 5, how professional do you think are these online classes to you?","Considering any and all problems you have at home, how much do you think you are able to learn from online classes?","Have you faced any medical conditions like nausea, headache, backache, eye pain, etc. due to online classes?","Would you prefer uploaded lectures on sites like YouTube over live learning on Zoom, MS Teams, etc.?",What grading criteria should be used in your point of view for online education?,"On a scale of 1 to 5, how understanding and cooperative has your family been during these classes?","On a scale of 1 to 5, how much are you affected mentally due to this lockdown/pandemic?","On a scale of 1 to 5, how stressed do you feel about online classes?","On a scale of 1 to 5, how much are you affected mentally due to this lockdown/pandemic?",Do you think conducting online classes during this lockdown would have been a better option?,Why do you think conducting online classes should have been a better option?
06/06/2020 17:33:36,Yes,Neduet,Female,Class of 2023,Science and Engineering,3.5 - 4.0,Yes,Personal Laptop,Wi-Fi Device,Slow internet speed,I am unable to concentrate and I zone-out during online session,5,Yes,Online classes and examination will lead to decrease in CGPA and also no practical classes are being conducted which will lead to no practical expertise,Yes,Pre-recorded lectures,3,2.6 - 3.0,No,Maybe,Yes,Maybe,Yes,No,3,5 - 6,5,3,3,Yes,Yes,Pass/Fail Semester,5,5,3,,,
06/06/2020 17:42:01,Yes,NEDUET,Male,Class of 2020,Science and Engineering,3.1 - 3.5,Yes,"Personal Desktop, Personal Phone",Cable Network,Electricity disruption,I am overwhelmed with sudden online learning,3,Maybe,"Unable to make any interest in Online classes ,face to face meetup makes an another level of understanding in studies and some other activities but we can't afford meeting because of this pandamic situation if we students could compromise on all situation then teachers also had a responsibility to make sure not to just read slides that they shares with us for a week and after a week they have to delete slides because of high command and we also can't download those lectures that they shares with us.
I also not want to waste my time during this pandamic but also not want to spoil my future by getting the lesson which I can't understand!
YouTube also provides us many lectures with out any audio, video and other problems.",Yes,Pre-recorded lectures,4,3.1 - 3.5,No,No,Yes,No,No,Yes,3,5 - 6,3,2,3,Yes,Yes,Pass/Fail Semester,5,4,5,,,
06/06/2020 17:43:05,Yes,NED University of engineering ans technology,Female,Class of 2019,Science and Engineering,3.5 - 4.0,Yes,"Personal Laptop, Personal Phone",Cable Network,"Disconnection of internet, Slow internet speed, Software used for online classes doesn't work properly","I get distracted due to the disturbance made by peers during online session, I am hesitant to ask questions during online session",5,Maybe,The student in ourself ia dyeing day by day. Specially batch'16 students are about ti graduate ,Yes,"Pre-recorded lectures, Change in assessments",3,3.1 - 3.5,Maybe,No,Yes,Maybe,No,Yes,4,5 - 6,4,2,3,No,Maybe,Lower-scaled,5,3,5,,,
06/06/2020 18:05:41,Yes,,Male,Class of 2021,Science and Engineering,3.1 - 3.5,Yes,Personal Laptop,Cable Network,Electricity disruption,I am unable to concentrate and I zone-out during online session,4,Yes,Industries are shutting down or down sizing economies of many countries are collapsing it will be hard to find jobs in the future ,Yes,"Flexible class timings, Pre-recorded lectures",3,3.1 - 3.5,Maybe,Maybe,Yes,Yes,No,No,2,5 - 6,4,3,3,No,No,Pass/Fail Semester,4,3,4,,,
06/06/2020 18:16:22,Yes,Dow ,Female,Class of 2023,MBBS,3.5 - 4.0,Yes,Personal Phone,Wi-Fi Device,"Disconnection of internet, Slow internet speed, Electricity disruption","I don't have a dedicated work space at home, I am unable to concentrate and I zone-out during online session",5,Maybe,This will extend my degree therefore a delay in practicing. But i guess this might increase the demand of doctors in future therefore might provide better options...but currently its difficult to predict.,No,Nothing,3,No idea,Maybe,Yes,No,Yes,No,No,1,5 - 6,5,2,2,No,Yes,Lower-scaled,5,4,5,,,
06/06/2020 18:22:40,Yes,SZABIST ,Male,Class of 2021,Social Sciences ,2.6 - 3.0,Yes,"Personal Laptop, Personal Phone","Wi-Fi Device, Mobile Data on Phone",I don't face any issue,"I don't have a dedicated work space at home, I am overwhelmed with sudden online learning",5,Maybe,"In future, basic computer skills like opearing ms word, powerpoint and excel would be popular along with other video conferencing apps like zoom, google meet,   skype etc",Yes,"Change in assessments, Lecture recordings in case if someone faces any connectivity issues. ",5,2.6 - 3.0,No,Maybe,No,Yes,Yes,No,3,5 - 6,5,3,3,Yes,Yes,Pass/Fail Semester,5,4,4,,,
06/06/2020 19:23:00,No,Ned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/06/2020 20:12:46,Yes,NED UNIVERSITY OF ENGINEERING AND TECHNOLOGY ,Male,Class of 2020,Science and Engineering,2.6 - 3.0,Yes,"Personal Laptop, Personal Tablet, Personal Phone",Wi-Fi Device,I don't face any issue,I am unable to concentrate and I zone-out during online session,4,Maybe,The management of NED decided to take entry test and admission early while reducing the semester days. Whether it is a fall semester or spring semester both are shortened considering the amount of courses and burdens remains the same. Now this pandemic has again put that management implementation into a failed category and due to so much rush we have bad grades and poor understanding of our courses,Yes,Pre-recorded lectures,3,3.1 - 3.5,Yes,Yes,No,Yes,Maybe,Yes,1,7 or more,5,4,4,Yes,No,Same as usual,5,4,3,,,
06/06/2020 20:54:31,Yes,Habib,Male,Class of 2020,Science and Engineering,2.6 - 3.0,Yes,"Personal Laptop, Personal Phone",Cable Network,"Disconnection of internet, Slow internet speed","Not fun, lack of motivation",2,Maybe,Not sure,Yes,Provided the option to change the course grades to Pass/Fail,2,1.5 - 2.5,Yes,No,No,Yes,No,No,3,5 - 6,3,4,3,No,Maybe,Pass/Fail Semester,5,2,2,,,
06/06/2020 21:25:33,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/06/2020 21:43:37,Yes,,Male,Class of 2022,Science and Engineering,2.6 - 3.0,Yes,Personal Laptop,Wi-Fi Device,"Disconnection of internet, Electricity disruption, Software used for online classes doesn't work properly","I don't have a dedicated work space at home, I am unable to concentrate and I zone-out during online session",5,Yes,I'll not be able to cope up the studies and will not be able to study as my field is required,No,"Flexible class timings, Flexible attendance policies, Pre-recorded lectures",1,2.6 - 3.0,Maybe,No,Yes,Yes,No,Maybe,2,7 or more,1,1,2,No,No,Pass/Fail Semester,5,5,5,,,
06/06/2020 22:24:20,Yes,,Female,Class of 2020,Science and Engineering,3.1 - 3.5,Yes,"Personal Laptop, Personal Phone","Cable Network, Wi-Fi Device, Mobile Data on Phone","Disconnection of internet, Slow internet speed, Electricity disruption","I don't have a dedicated work space at home, I am overwhelmed with sudden online learning, I am unable to concentrate and I zone-out during online session, I am hesitant to ask questions during online session",5,Yes,"A lot of companies have postponed their hiring processes while some of the companies are having virtual hiring process which is not feasible for everyone. And as the covid-19 has impacted the economy adversely, it will also effect our the salaries, etc.",Yes,"Flexible attendance policies, Change in syllabus, Change in assessments, Provided the option to change the course grades to Pass/Fail",2,3.5 - 4.0,Maybe,Maybe,Yes,Yes,No,Yes,2,4 or less,4,3,3,Yes,Yes,Pass/Fail Semester,3,5,4,,,
06/06/2020 22:40:29,Yes,Habib University,Male,Class of 2022,Science and Engineering,2.6 - 3.0,Yes,"Personal Laptop, Personal Phone",Wi-Fi Device,Disconnection of internet,I am unable to concentrate and I zone-out during online session,3,Maybe,Like there might be less field work internships and more virtual internships in which one will not gain the experience of working in an industry or somewhere else by being physically present and doing something...I hope that covid gets over so there might be no impact on my career as well..,Yes,"Flexible attendance policies, Pre-recorded lectures, Change in syllabus, Provided the option to change the course grades to Pass/Fail",4,2.6 - 3.0,Yes,Maybe,Yes,Maybe,No,Maybe,3,4 or less,5,3,3,No,Maybe,Pass/Fail Semester,5,4,3,,,
06/06/2020 22:41:03,Yes,Habib University,Male,Class of 2020,Science and Engineering,3.1 - 3.5,Yes,Personal Laptop,Cable Network,"Disconnection of internet, Slow internet speed, Electricity disruption","I don't have a dedicated work space at home, I am overwhelmed with sudden online learning, I am unable to concentrate and I zone-out during online session",4,Maybe,"All the reasons, I have mentioned lead to the fact that I am unable to understand what instructor is teaching. And therefore, I can't grasp the concepts. However, I would request to cancel the examinations. ",Yes,Provided the option to change the course grades to Pass/Fail,1,3.1 - 3.5,No,Maybe,Yes,Yes,Maybe,Yes,1,4 or less,4,3,1,Yes,No,Pass/Fail Semester,3,4,5,,,
06/06/2020 23:19:38,Yes,habib,Male,Class of 2020,Science and Engineering,3.5 - 4.0,Yes,"Personal Laptop, Personal Phone","Wi-Fi Device, Mobile Data on Phone, Mobile Data through Hot spot",I don't face any issue,"I am overwhelmed with sudden online learning, I am unable to concentrate and I zone-out during online session",4,Maybe,longterm economic impact,Yes,"Flexible class timings, Flexible attendance policies, Pre-recorded lectures, Change in syllabus, Change in assessments, Provided the option to change the course grades to Pass/Fail",4,3.5 - 4.0,Maybe,No,Yes,Yes,Yes,No,4,4 or less,2,5,1,Yes,Maybe,Pass/Fail Semester,4,5,4,,,
06/06/2020 23:41:54,Yes,,Female,Class of 2020,Textile design ,3.1 - 3.5,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,Maybe,Break from the COVID-19 stress
06/06/2020 23:49:02,Yes,,Male,Class of 2020,Science and Engineering,3.1 - 3.5,Yes,"Personal Laptop, Personal Phone",Cable Network,"Disconnection of internet, Slow internet speed, Electricity disruption","I am overwhelmed with sudden online learning, I am unable to concentrate and I zone-out during online session",5,Yes,No jobs,Yes,"Flexible attendance policies, Pre-recorded lectures, Provided the option to change the course grades to Pass/Fail",2,2.6 - 3.0,No,Yes,Yes,Yes,Yes,Yes,1,4 or less,3,2,2,No,Yes,Lower-scaled,3,5,5,,,
07/06/2020 14:40:20,Yes,,Female,Class of 2020,Science and Engineering,2.6 - 3.0,Yes,"Personal Laptop, Personal Phone",Wi-Fi Device,"Disconnection of internet, Software used for online classes doesn't work properly",I am hesitant to ask questions during online session,1,No,,Yes,Pre-recorded lectures,5,2.6 - 3.0,Yes,Yes,No,Maybe,No,No,5,5 - 6,5,5,5,Yes,Yes,Pass/Fail Semester,5,1,1,,,
07/06/2020 17:28:49,Yes,Habib,Male,Class of 2020,Science and Engineering,2.6 - 3.0,Yes,"Personal Laptop, Personal Phone","Mobile Data on Phone, Mobile Data through Hot spot","Disconnection of internet, Slow internet speed","I am overwhelmed with sudden online learning, I am unable to concentrate and I zone-out during online session",5,Maybe,I think I won't be able to go to office till next 4-6 months. And it is gonna be difficult for me as a fresh graduate because there will be less people to approach around me. ,Yes,"Change in syllabus, Change in assessments, Provided the option to change the course grades to Pass/Fail",2,1.5 - 2.5,No,Maybe,Yes,Maybe,Yes,Yes,1,5 - 6,2,4,2,Yes,Yes,Pass/Fail Semester,1,5,5,,,
08/06/2020 11:10:05,Yes,Habib ,Female,Class of 2020,Science and Engineering,3.1 - 3.5,Yes,"Personal Laptop, Personal Phone","Cable Network, Wi-Fi Device, Mobile Data on Phone","Disconnection of internet, Slow internet speed","I am overwhelmed with sudden online learning, I am unable to concentrate and I zone-out during online session",2,Yes,"Less jobs post covid, decline of economy and what not ",Yes,"Flexible class timings, Flexible attendance policies, Pre-recorded lectures, Change in assessments, Provided the option to change the course grades to Pass/Fail",2,3.1 - 3.5,No,Maybe,Yes,Yes,Yes,Yes,3,5 - 6,4,3,3,Yes,Maybe,Pass/Fail Semester,3,5,4,,,
08/06/2020 11:16:01,Yes,Habib University,Female,Class of 2020,Science and Engineering,3.5 - 4.0,Yes,Personal Laptop,Cable Network,"Disconnection of internet, Slow internet speed",I am unable to concentrate and I zone-out during online session,4,Yes,no jon - recession ,Yes,"Flexible class timings, Flexible attendance policies, Change in assessments, Provided the option to change the course grades to Pass/Fail",3,3.5 - 4.0,No,Yes,Yes,Yes,No,No,2,5 - 6,1,4,2,Yes,No,Lower-scaled,5,5,4,,,
08/06/2020 12:11:19,Yes,Habib University,Male,Class of 2020,Science and Engineering,3.1 - 3.5,Yes,"Personal Laptop, Personal Phone",Wi-Fi Device,"Disconnection of internet, Slow internet speed, Electricity disruption",I don't have a dedicated work space at home,4,Yes,"Ummm, not really sure. ",Yes,"Flexible attendance policies, Change in assessments, Provided the option to change the course grades to Pass/Fail",3,3.1 - 3.5,No,Maybe,Yes,Yes,No,Maybe,4,4 or less,4,4,2,No,Maybe,Pass/Fail Semester,4,4,5,,,
08/06/2020 12:14:55,Yes,Habib University,Female,Class of 2020,Science and Engineering,3.1 - 3.5,Yes,"Personal Laptop, Personal Phone","Cable Network, Wi-Fi Device, Mobile Data on Phone, Mobile Data through Hot spot","Slow internet speed, Electricity disruption",I don't have a dedicated work space at home,1,No,,Yes,"Flexible attendance policies, Pre-recorded lectures, Change in assessments, Provided the option to change the course grades to Pass/Fail",5,3.5 - 4.0,Yes,Maybe,No,Maybe,Yes,No,5,4 or less,5,5,4,No,No,Same as usual,4,3,1,,,
08/06/2020 12:33:44,Yes,,Female,Class of 2020,Arts and Humanities,3.5 - 4.0,Yes,"Personal Laptop, Personal Phone","Wi-Fi Device, Mobile Data on Phone, Mobile Data through Hot spot","Disconnection of internet, Slow internet speed, Electricity disruption",Family situation isn’t conducive to learning. Too many disruptions and family responsibilities at home. Plus I live with an abusive father so the mental toll of that is immense and gets hard to focus on studies so I need a designated space outside the house for that ,4,Maybe,"My field is an essential industry eg policy and healthcare so there is still a need for my skills in the job market. However covid has badly impacted all industries so of course there will be fewer opportunities and more competition. But currently I’ve secured an internship opportunity at a leading healthcare firm leading to a job, so I can say that so far the impact on my career is not very harsh, but can’t say what happens in the future. However I hope it remains a positive path for me as healthcare is an essential industry after all",Yes,"Flexible attendance policies, Change in syllabus, Change in assessments, Provided the option to change the course grades to Pass/Fail",3,3.1 - 3.5,Maybe,Maybe,Yes,Yes,Yes,Yes,1,4 or less,3,4,4,No,No,Pass/Fail Semester,2,5,3,,,
08/06/2020 12:39:24,Yes,Habib university,Male,Class of 2020,Science and Engineering,3.1 - 3.5,Yes,"Personal Laptop, Personal Phone","Cable Network, Wi-Fi Device, Mobile Data on Phone","Disconnection of internet, Slow internet speed, Electricity disruption","I don't have a dedicated work space at home, I am overwhelmed with sudden online learning, I get distracted due to the disturbance made by peers during online session, I am unable to concentrate and I zone-out during online session",5,Yes,Low productivity and fatigue,Yes,"Flexible class timings, Flexible attendance policies, Pre-recorded lectures, Change in syllabus, Change in assessments, Provided the option to change the course grades to Pass/Fail",4,3.1 - 3.5,No,Maybe,Yes,Yes,Yes,Yes,1,5 - 6,1,3,3,Yes,No,Lower-scaled,3,5,4,,,
08/06/2020 13:02:24,Yes,,Female,Class of 2023,Science and Engineering,3.5 - 4.0,Yes,Personal Laptop,Mobile Data through Hot spot,Disconnection of internet,"I get distracted due to the disturbance made by peers during online session, I am unable to concentrate and I zone-out during online session",3,Maybe,Maybe the constant anxiety and uncertainty will have its impact. ,No,N/A,3,3.1 - 3.5,Maybe,Maybe,Yes,Yes,No,Maybe,3,5 - 6,3,3,3,Yes,Yes,Pass/Fail Semester,4,4,4,,,
08/06/2020 13:29:09,Yes,Textile institute of pakistan,Female,Class of 2021,Arts and Humanities,3.1 - 3.5,Yes,Personal Laptop,Cable Network,"Disconnection of internet, Slow internet speed",I am overwhelmed with sudden online learning,5,Yes,I am currently studying textile designing and this was supposed to be my 6 semester. 5 out of 6 courses are practical and can be conducted in university space. Due to the whole covid-19 virus my graduation is not possible on time. ,Yes,"Flexible class timings, Flexible attendance policies",3,No exams will be conducted as mostly the courses are practical and haven't studied yet.,Yes,Maybe,Yes,Yes,No,No,3,5 - 6,4,3,3,No,Yes,Same as usual,4,4,3,,,
08/06/2020 13:31:04,Yes,Dow University of Health Sciences,Female,Class of 2023,Science and Engineering,3.5 - 4.0,Yes,Personal Phone,Wi-Fi Device,Software used for online classes doesn't work properly,"I am overwhelmed with sudden online learning, I am unable to concentrate and I zone-out during online session",4,Yes,Being a medical student we use to have our wards but due to pandemic our wards have been cancelled which surelly is a big loss. ,Yes,Pre-recorded lectures,3,3.5 - 4.0,No,Yes,No,Yes,No,No,2,4 or less,5,3,3,No,Yes,Same as usual,4,3,3,,,
08/06/2020 13:31:15,Yes,HU,Male,Class of 2020,Science and Engineering,3.1 - 3.5,Yes,"Personal Laptop, Personal Phone","Cable Network, Wi-Fi Device, Mobile Data on Phone","Disconnection of internet, Slow internet speed, Electricity disruption, Software used for online classes doesn't work properly","I am overwhelmed with sudden online learning, I am unable to concentrate and I zone-out during online session",5,Maybe,No enough opportunities ,Yes,"Flexible attendance policies, Pre-recorded lectures, Change in syllabus, Change in assessments, Provided the option to change the course grades to Pass/Fail",3,1.5 - 2.5,No,Maybe,Yes,Yes,Yes,Maybe,2,5 - 6,2,3,2,Yes,Maybe,Lower-scaled,4,5,4,,,
08/06/2020 13:42:14,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/06/2020 13:48:00,Yes,Duhs,Male,Class of 2023,Medical,3.1 - 3.5,Yes,"Personal Laptop, Personal Phone","Cable Network, Mobile Data on Phone","Disconnection of internet, Slow internet speed","I don't have a dedicated work space at home, I am unable to concentrate and I zone-out during online session",2,No,,No,Flexible class timings,3,3.1 - 3.5,Maybe,No,Yes,Maybe,No,No,3,4 or less,2,3,2,No,Yes,Same as usual,3,2,2,,,
08/06/2020 13:54:38,Yes,,Male,Class of 2020,Science and Engineering,3.5 - 4.0,Yes,"Personal Laptop, Personal Phone","Cable Network, Wi-Fi Device, Mobile Data on Phone","Disconnection of internet, Slow internet speed, Electricity disruption","I get distracted due to the disturbance made by peers during online session, I am unable to concentrate and I zone-out during online session",5,Yes,High risk of unemployment. ,No,Pre-recorded lectures,2,3.5 - 4.0,Yes,Yes,Yes,Yes,Yes,Yes,2,5 - 6,2,2,2,No,No,Pass/Fail Semester,3,5,5,,,
08/06/2020 13:55:59,Yes,,Male,Class of 2023,Science and Engineering,3.1 - 3.5,Yes,Personal Phone,Wi-Fi Device,I don't face any issue,I am unable to concentrate and I zone-out during online session,4,Maybe,I am unable to concentrate at my studies which might effect my career.,No,Pre-recorded lectures,2,2.6 - 3.0,Yes,Yes,Yes,Yes,Maybe,Yes,1,5 - 6,4,2,1,No,Yes,Lower-scaled,5,4,4,,,
08/06/2020 14:01:35,Yes,DMC,Female,Class of 2023,Science and Engineering,3.5 - 4.0,Yes,"Personal Laptop, Personal Phone",Wi-Fi Device,"Disconnection of internet, Electricity disruption","I am unable to concentrate and I zone-out during online session, I am hesitant to ask questions during online session",5,Yes,Bad impact,No,"Change in syllabus, Change in assessments",2,3.1 - 3.5,No,No,No,Maybe,Yes,Yes,4,4 or less,3,4,4,Yes,No,Lower-scaled,4,4,4,,,
08/06/2020 14:09:45,Yes,DMC ,Female,Class of 2023,Science and Engineering,3.5 - 4.0,Yes,Personal Phone,Wi-Fi Device,"Disconnection of internet, Slow internet speed","I am overwhelmed with sudden online learning, I get distracted due to the disturbance made by peers during online session, I am unable to concentrate and I zone-out during online session",5,Yes,Studies at this time is severely affected I don't know how I will be able to cover whole of this syllabus in this time of pandemic where fear and anxiety is on its peak. ,No,Nothing,1,3.1 - 3.5,No,Maybe,Yes,Yes,Maybe,Yes,1,4 or less,5,1,1,No,Maybe,Pass/Fail Semester,4,5,5,,,
08/06/2020 14:30:06,Yes,DMC,Female,Class of 2023,Medicine ,3.5 - 4.0,Yes,Personal Phone,Cable Network,Teachers are trained well to handle the software.,None ,4,Maybe,It may delay our graduation ,Yes,Flexible class timings,4,I have no idea ,Maybe,Maybe,No,Yes,No,No,3,5 - 6,1,3,4,No,No,Pass/Fail Semester,5,4,2,,,
